Timestamp,Location,Day,Your initials,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,Legacy,First gen,Domestic/Intl,Greek,21 or older,Q1 Paxson,Q2 Advisor,Q3 Cigs,Q4 Election,Q5 CAPS,Q6 Exercise,Q7 Coffee,Q8 Shamed,Q9 Food,Q10 Med/law advising,Q11 Selling,Q12 Cheating,Q13 Substance use in class
10/29/2015 15:12:03,Faunce,Day 1,ASG,Female,Sophomore,None,No,Heterosexual,White,Humanities/arts,,No,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,0,4-7,4-7,No,Somewhat satisfied,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
10/29/2015 15:14:12,Faunce,Day 1,ASG,Female,Sophomore,Just loans,No,Heterosexual,"White, Black","Humanities/arts, Social sciences",No,Yes,Domestic,No,No,Somewhat disapprove,1-2,I do not smoke cigarettes or e-cigarettes,I am unsure,0,1-3,1-3,No,Somewhat dissatisfied,Somewhat dissatisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
10/29/2015 15:16:42,Faunce,Day 1,ASG,Male,First-year,None,No,Heterosexual,White,Humanities/arts,No,No,Domestic,No,No,No opinion,1-2,Several times per month,Bernie Sanders,0,4-7,8-14,No,Very satisfied,No opinion,No,"I have cheated, I have been cheated on",I have never been intoxicated during class
10/29/2015 15:18:39,Faunce,Day 1,ASG,Female,Sophomore,"Grants, covering all costs",No,Heterosexual,White,Life sciences,No,Yes,Domestic,No,No,No opinion,0,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,0,1-3,No,Somewhat dissatisfied,Somewhat dissatisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
10/29/2015 15:20:36,Faunce,Day 1,ASG,Female,Sophomore,Grants and loans,No,Heterosexual,Asian,Social sciences,No,No,Domestic,No,No,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,5-6,4-7,1-3,No,Somewhat dissatisfied,Somewhat dissatisfied,No,I have been cheated on,I have never been intoxicated during class
10/29/2015 15:23:10,Faunce,Day 1,ASG,Male,First-year,None,No,Heterosexual,"White, Asian, American Indian/Alaska Native",Life sciences,No,No,Domestic,No,No,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,1,4-7,1-3,No,Somewhat dissatisfied,Somewhat dissatisfied,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
10/29/2015 15:25:51,Faunce,Day 1,ASG,Male,Junior,"Grants, covering all costs",No,Gay,"Hispanic, Black","Life sciences, Social sciences",No,Yes,Domestic,Yes,No,Somewhat approve,1-2,Rarely,Bernie Sanders,0,14 or more,1-3,No,Very satisfied,No opinion,No,"I have cheated, I have been cheated on, I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have been under the influence of marijuana during class
10/29/2015 15:28:12,Faunce,Day 1,ASG,Female,Junior,Grants and loans,No,Heterosexual,Asian,Life sciences,No,No,Domestic,No,No,Somewhat approve,1-2,Rarely,Bernie Sanders,2-4,0,0,No,No opinion,No opinion,No,I have cheated,I have never been intoxicated during class
10/29/2015 15:29:47,Faunce,Day 1,ASG,Female,Senior,None,No,Heterosexual,White,Social sciences,Yes,No,Domestic,No,Yes,Strongly approve,3-4,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,5-6,,8-14,No,No opinion,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have never been intoxicated during class
10/29/2015 15:32:25,Faunce,Day 1,ASG,Female,First-year,None,No,Heterosexual,"White, Asian",Life sciences,No,No,Domestic,No,No,,1-2,I do not smoke cigarettes or e-cigarettes,I am uninterested in voting or ineligible to vote,1,4-7,1-3,No,Somewhat dissatisfied,Somewhat satisfied,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
